"I have a secret to tell you. Will you leave with me?","2046"
"Darkness is your friend. Whatever you do, don't turn on the lights.","Starship Troopers: Invasion"
"You're not afraid of the dark, are you?","The Chronicles of Riddick"
"Tell Commander Lewis, disco sucks.","The Martian"
"I feel like someone's watching us.","Until Dawn"
"No duck is an island. And if fate sent me here to save Earth, then Howard the Duck is ready to fight!","Howard the Duck"
"City Hall is the decaying symbol of mismanagement and corruption.","RoboCop 2"
"Darling, I'm afraid I'm going to have to tie you up.","Alice"
"Asking yourself these deeper questions opens up new ways of being in the world, it brings in a breath of fresh air.It makes life more joyful. The real trick to life is not to be in the know, but be in the mystery.","What the #$*! Do We Know"
"Do I think you're bad? I don't think you're bad. Do I think you're good? I don't think you're good either. I think you're God!","What the #$*! Do We Know"
"Ooh, a Mini-Doris! I didn't know you could do that!","Meet the Robinsons"
"I saw what I saw when I saw it!","Abbott and Costello Meet Frankenstein"
"There is a man inside this vessel, who is something far worse... than anyone here has ever encountered. Should you survive this day, it is one you will remember for the rest of your lives.","The Chronicles of Riddick: Dark Fury"
"We got Skynet by the balls now, don't we?","Terminator 2: Judgment Day"
"Don't push me, little Call. You hang with us for a while, you'll find out I am not the man with whom to fuck!","Alien: Resurrection"
"We're a world with no single leader. It's impossible to deal with just one of us.","Arrival"
"It's that man again! Despite his meandering maneuverability, his strategical susceptibility, his infantile indefatigability, and his tendency towards tactical trability, he still remains.","The World's End"
"What could possibly have come over Master Luke? Is it something I did? He never expressed any unhappiness with my work.","Star Wars: Episode VI - Return of the Jedi"
"You know what you are, Flint Lockwood? A shenaniganizer! A tomfool!","Cloudy with a Chance of Meatballs"
"He says unless we accept his demands, the weather will keep getting colder and colder until we'll all have to go to hell just to warm up.","The Avengers"
"I've just about had enough of you. Go that way. You'll be malfunctioning within a day, you near-sighted scrap pile. And don't let me catch you following me begging for help because you won't get it.","Star Wars: Episode IV - A New Hope"
"You are all coming with me!","Event Horizon"
"My brain? It's my second favorite organ!","Sleeper"
"Is this now?","Minority Report"
"You have sunk my battleship.","Bill & Ted's Bogus Journey"
"We're here to throw down!","Aqua Teen Hunger Force Colon Movie Film for Theaters"
"I can't feel *anything* anymore!","V for Vendetta"
"Kathryn! Your damn cow was in my way.","Double Team"
"I'm not a cop, I'm a firefighter.","Frequency"
"They fly! They freakin' fly!","The Cave"
"I don't want to have to remember my husband. I want to love him now.","Battle for the Planet of the Apes"
"We need a new vehicle.","Terminator 3: Rise of the Machines"
"Listen to me, as if I were Cerberus barking with all his heads at the gates of hell. I will tell you where to take it, but don't... don't open the box!","Kiss Me Deadly"
"Where he sees an empty page, I see ""King Lear"". But he is my brother, so I shall play my part, knowing it shall all end in tears.","BioShock Infinite"
"In chess, the pawns go first.","X-Men: The Last Stand"
"Those were some pretty slick moves back there. I'm good, but I'm not that good.","Resident Evil: Apocalypse"
"That accident over in Red Sector L destroyed another 63 personnel, giving them a total of 242 lost to our 195. Keep up the good work and prevent accidents. This shift is concluded.","THX 1138"
"If it has to taste like this, I don't care if my electrolytes are imbalanced or not.","2010: The Year We Make Contact"
"You will never win!","Mortal Kombat: Annihilation"
"You want eternal rest? I got it right here!","Metal Gear Solid 2: Sons of Liberty"
"Do you know how much depends on this? We had to shut down the Buzz Lightyear!","Escape from Tomorrow"
"I'm trying to understand our world. I don't deal with petty materialists like you.","Pi"
"You can't let your father's mistakes define who you are. You get to decide what kind of king you are going to be.","Black Panther"
"They're here already! You're next! You're next, You're next...!","Invasion of the Body Snatchers"
"Relax. You'll live longer.","Total Recall"
"Don't get cheap on me, Dodgson. That was Hammond's mistake.","Jurassic Park"
"Friday, you're gonna learn English if I have to sit on your chest for two months.","Robinson Crusoe on Mars"
"This old man looks like he's gonna pee himself. Someone bring me a bucket.","Batman: Arkham Asylum"
"Just junk it, you miserable cuss!","Mystery Men"
"Is your mind playing tricks on you... or am I?","Batman: Arkham Asylum"
"Watch your step, brother","Alien³"
"I am a desert creature.","Children of Dune"
"Here we are actually filming great thinkers. Everyone in this room is a great thinker - now that we've got them thinking! That's always the trick, isn't it?","What the #$*! Do We Know"
"Look, you and me, we've got a lot in common. Not like that lot. We like a risk. We like adventure! Well, this is it. This is the big one! No namby-pamby time holes here. We risk all. We win everything!","Time Bandits"
"Every memory has a piece of its artist.","Blade Runner 2049"
"I don't like trains.","Inception"
"Power is fleeting; love is eternal.","Krull"
"You've been given a chance to start over with a clean slate. How many of us get that?","Alita: Battle Angel"
"Crazy drunk pedestrians!","Back to the Future Part II"
"An invention with no philosophy behind it is a curse.","Suchîmubôi"
"The power of the sun, in the palm of my hand!","Spider-Man 2"
"We're here guys!","Shark Night 3D"
"We must have a look at Paul Atreides.","Dune"
"This is not good!","Mortal Kombat: Annihilation"
"I love my country. Now give me the watch so I can go to Costa Rica.","Clockstoppers"
"There are no enemies in science, only phenomena to be studied.","The Thing from Another World"
"Fitch, Fitch it doesn't feel right.","Species"
"I'm tired of experimenting with silly puppets.","Puppetmaster"
"Rest assured that we will soon come out at a very real outcome.","Mars Attacks!"
"You don't like hearing a fight song at a funeral, huh?","The Hunger Games: Mockingjay - Part 1"
"Tell me something about yourself.","Code 46"
"Hey! This is not your toy to play with every time I turn around!","Close Encounters of the Third Kind"
"This guy's not gonna leak all over my ice cream, is he?","Phantasm"
"The good things always happen with the rain.","Seconds"
"I guess everything comes back around. Like your goddamn ties.","Looper"
"No matter how far we advance, we will remember the sacrifices of those who made it possible... And we will remember Shepard. Because of him... I am alive, and I am not alone.","Mass Effect 3"
"The one thing that this job has taught me is that truth is stranger than fiction.","Predestination"
"I'm Secretary of State, brought to you by Carl's Jr.","Idiocracy"
"That blast came from the Death Star! That thing's operational!","Star Wars: Episode VI - Return of the Jedi"
"I forgot - how nice you smelled.","Until the End of the World"
"Borg? Sounds Swedish.","Star Trek: First Contact"
"Friends tell each other how they feel with relative frequency. Siblings wait for a more convenient time, like their deathbeds.","The Endless"
"I been here since the beginnin', an' I still don't know what the hell's goin' on.","Final Fantasy VII"
"If I was forced to apologize every time I got smashed, I'd spend my whole life wandering around saying ""I'm sorry, I'm sorry, I'm sorry.""","The Stepford Wives"
"Here they come again... worming their way into the black matter of my brain. I tell myself, they cannot touch me. They are long dead.","Mad Max: Fury Road"
"Even in death, my magnificence is boundless. When this rocket lifts off, I shall be leaving you in your own private crematorium. Mr. Bond, Dr. Goodhead, I bid you - farewell.","Moonraker"
"There's illegal gambling going on inside that truck!","Super Fuzz"
"I know I'm devastatingly good looking but you gotta stop staring at me.","Gravity"
"I'm not depressed. Just quiet.","Millennium"
"If I try it myself, I'll die. And I will try it myself.","The Final Cut"
"I try to make sense of things. Which is why, I guess, I believe in destiny. There must be a reason that I am as I am. There must be.","Bicentennial Man"
"The moment's passed. Whatever I do I can't change this moment. I'm about to call out to them. They run away. If I'm ever going to see their faces I've gotta get back home. The real world.","Inception"
"The only thing that counts in the end is power! Naked merciless force!","Beneath the Planet of the Apes"
"Trust no one, Mr. Mulder.","The X Files"
"He says he thinks they should see other people. She says... Wait people eat that too","Underdog"
"Goodbye... Mother.","Neon Genesis Evangelion: The End of Evangelion"
"My experiments did not turn out quite like yours, Henry. But science, like love, has her little surprises. As you shall see.","Bride of Frankenstein"
"We're all in strung out shape, but stay frosty, and alert. We can't afford to let one of those bastards in here.","Aliens"
"...so I'm taking my work underground. I can't let it fall into the wrong hands again.","The Lawnmower Man"
"It's true! I chopped him up. But I didn't kill him!","Little Shop of Horrors"
"Raspberry world. For all your raspberry needs.","Mystery Science Theater 3000: The Movie"
"Guidons, guidons, Black Six. Attack! Attack! Attack!","War of the Worlds"
"Thank you for letting me in.","X-Men: Apocalypse"
"You have to get me out of here before they kill me again.","Doctor Who"
"Tell your friends, you dead bastard. We'll be here all week!","Fallout 4"
"It is invigorating being asked personal questions. Makes one feel... desired.","Blade Runner 2049"
"All access pass to Spookville. Comes with a free lunch and a decoder ring.","Sanctuary"
"Katniss. Shoot straight.","The Hunger Games"
"Every morning I try to remember I'm only the second biggest loser to walk Grizzly Lake High. First place goes to the drunk slut who screwed the dead mascot in 1992, but the 90's are history. So am I.","Detention"
"Never touch my tuxedo.","The Tuxedo"
"Circuits don't fail me now!","Starcrash"
"Oh, hell.","Superman/Doomsday"
"Like my ex-wife. Anything I say, she does the opposite.","Critters 4"
"I knew it was too good to be true. I parked right near the hospital.","Sleeper"
"Can a brother get some water around here?","Superbabies: Baby Geniuses 2"
"Beavis down, Butt-head to go.","My Favorite Martian"
"Who you gonna trust huh? You trust me. You know why? Because I'm *Trustworthy*","Deep Blue Sea"
"Once it gets inside, that's when the killin' starts.","Screamers"
"My mom always says that being boss and being bossy aren't the same.","SpaceCamp"
"Let your life be a dream. Integrity. Honesty. It's too late for me. Don't look back till your free to chase the morning...!","Repo! The Genetic Opera"
"The last man, alone with God.","Sunshine"
"Everyone around me seems to fit. They seem connected to something, I am... not.","Ghost in the Shell"
"I shall not dwell today on the secrets of the human body, in sickness and in health. Today I want to talk to you of a greater marvel: the soul of man!","Dr. Jekyll and Mr. Hyde"
"If you work with rats long enough you turn into one.","Alice"
"Daddy? I know a bad word. And it's spelled: M-O-M-M-E.","BioShock 2"
"Are you serving that ape a martini?","Congo"
"Take your time. Take a few days. You've just come through a game, you're tired. Go to your ranch, but, think about it and understand it. *Do* understand it.","Rollerball"
"There's someone in my house, eating my birthday cake, with my family, and it's not me!","The 6th Day"
"If you want my secrets, you'll eat my sandwich!","My Stepmother Is an Alien"
"Hand out the devolution guns! Prepare for destiny!... Where's my pizza?","Super Mario Bros."
"I've had the most peculiar dream.","Star Wars: Episode II - Attack of the Clones"
"I do not want to go down in history as the guy who destroyed the universe.","Dude, Where's My Car?"
"My new hypothesis: If we're built from Spirals while living in a giant Spiral, then is it possible that everything we put our hands to is infused with the Spiral?","Pi"
"Get down here!","Mortal Kombat"
"You'll have to get used to Dr. Malcolm, he suffers from a deplorable excess of personality, especially for a mathematician.","Jurassic Park"
"Not real? lf l weren't real, could l do this?","Space Jam"
"Now. Some fool has invented an indestructible cloth. Where is he? How much does he want?","The Man in the White Suit"
"The show is called ""Mommy and Daddy Talk to Animals"".","Arrival"
"I need two espressos and three coffees from downstairs.","V for Vendetta"
"Yeah, Zone 7's a tough place. You should see the way they carry on out there! People staying up all night, playing Twister, revertin' to their animal natures.","Cherry 2000"
"Yee haw! Ninja cowboy!","Teenage Mutant Ninja Turtles II: The Secret of the Ooze"
"I hope your shortcut worked, Mr. Quigley.","Cube Zero"
"I gotta work on my cardio.","Suicide Squad"
"Say hi to your mom for me.","Back to the Future"
"At the height of their powers, they allowed Darth Sidious to rise create the Empire, and wipe them out.","Star Wars: Episode VIII - The Last Jedi"
"Some say it was the grace of God that gives us the strength to bear the shaking timbers and falling Earth. Most would agree there was just no where to go.","Love"
"Cyclops there, cyclops there, cyclops there, turrets, moon buggies. Oh my holy crap! Surveillance does. I hate those. This is ridiculous. That's the most well-guarded yeast factory I've ever seen.","Gentlemen Broncos"
"Okay. Fucking unreal. Okay. Ava...","Ex Machina"
"I've got an alien, I've got an alien.","What Planet Are You From?"
"At least we gave them the tools they'll need to survive.","Maze Runner: The Death Cure"
"Cease fire! Cease fire!","Children of Men"
"It all makes sense. They're executing code red. Step 1: Kill the infected. Step 2: Containment. If containment fails, then Step 3: Extermination.","28 Weeks Later"
"Academics, you never wanna get your hands dirty. Think about it: if you gave back every stolen artifact from a museum, you'd be left with an empty building.","Atlantis: The Lost Empire"
"Wait a minute; that tattoo, I've seen it before; on a robot and a woman. They both tried to kill me.","Mortal Kombat: Annihilation"
"We're social creatures, and we need to interact with people. That's why relationships are so important, just so crucial for existence.","Love"
"You can do whatever you want with your life, but one day you'll know what love truly is. It's the sour and the sweet. And I know sour, which allows me to appreciate the sweet.","Vanilla Sky"
"Human and Pokemon can *NEVER* be friends.","Pokémon: The First Movie - Mewtwo Strikes Back"
"The cellar stretched before me like some vast primeval plain, empty of life, littered with the relics of a vanished race. No desert island castaway ever faced so bleak a prospect.","The Incredible Shrinking Man"
"A relationship is a lot like a porcelain nail, Ted. You can break it, and you can glue it back together, but it's not going to be as strong as it was unless the person is really committed to not bringing home nurses!","Earth Girls Are Easy"
"Being invisible is the best.","Amazon Women on the Moon"
"We mustn't linger. It is easy to get lost in memories.","World of Tomorrow"
"Excuse me.","Terminator 3: Rise of the Machines"
"Did I just die?","The Lazarus Effect"
"I keep feeling something bad is supposed to happen...","X2: X-Men United"
"Mr. Wynn, you are holding up progress.","Cube Zero"
"Why do Jewish divorces cost so much? They're worth it. Why do Jewish guys die before their wives? They want to.","Amazon Women on the Moon"
"Give my regards to oblivion.","Lost in Space"
"I made macaroni!","The Truman Show"
"Paging Dr Bat, paging Dr Bat, is there a Dr Bat in the room?","Batman: Arkham Asylum"
"Quite frankly, the twentieth century sucks. Maybe the twenty-first will be better.","Congo"
"The ring chose me for a reason... and this is the one.","Green Lantern"
"What do you say we get together and bust some skulls?","Teenage Mutant Ninja Turtles III"
"Drake, we are LEAVING!","Aliens"
"They have been given a purpose.","Overlord"
"The last... I am the last...","Half-Life"
"That was bolted to the wall.","Zoom"
"Humph. Hope, it is the quintessential human delusion, simultaneously the source of your greatest strength, and your greatest weakness.","The Matrix Reloaded"
"There was a car and it had three men in it and it did what most cars do. It came in one direction and left in the other.","The Rover"
"Define shit.","Starman"
"You know, there's only 8,011 things that I really need to talk to you about.","Iron Man 2"
"Don't touch me, old man! I don't know where you've been.","Batman: Mask of the Phantasm"
"How far down the rabbit hole do you want to go?","What the #$*! Do We Know"
"It's Christmas. Take 'em to Church.","Iron Man Three"
"My name is Thomas Moore. I was named after a Saint who died for his faith.","The Saint"
"I can't... tell you... everything; I mean, there's so much to tell...","Spider-Man"
"Drop it, sucker!","Runaway"
"It's our emotions. They vibrate, and all we can do is move forward within that amplitude. But without affirming them, we can't survive.","Metropolis"
"I never wanted the throne, I only ever wanted to be your equal!","Thor"
"And now God bends to my will.","Batman v Superman: Dawn of Justice"
"WHAAAAAATTTTT'SSSSSS HAAAPPPPEENNNIIIIINGGG?","SpaceCamp"
"Excuse me, I'm in charge of security here, milady.","Star Wars: Episode II - Attack of the Clones"
"War never changes.","Fallout 4"
"Their defenses are broken, let the slaughter begin!","The Transformers: The Movie"
"Lamb will lead the way.","BioShock 2"
"Youuuu... really are Irish!","Grabbers"
"This will be a day long remembered. It has seen the end of Kenobi, it will soon see the end of the Rebellion.","Star Wars: Episode IV - A New Hope"
"Is that all the gusto you can muster?","Donnie Darko"
"Obsession is a young man's game","The Prestige"
"How wonderful that all it took for you to grow is the end of the world!","Green Lantern"
"Batface and Birdbrain turned out to be much more resistant to my love-dust than expected... No matter. Next time I'll just give them a stronger dose. They'll literally be dying for me!","Batman & Robin"
"You're some sort of big, fat, smart-bug, aren't you?","Starship Troopers"
"Give up! You can't get away from us! We're not gonna hurt you!","Invasion of the Body Snatchers"
"The mind is a terrible thing to waste - don't make me waste yours.","Class of 1999"
"You can't play God son.","The Butterfly Effect"
"...A building is a symbol, as is the act of destroying it. Symbols are given power by people. Alone, a symbol is meaningless, but with enough people, blowing up a building can change the world.","V for Vendetta"
"Oh, I see you've learned to patronize, as well.","Impostor"
"Serve out the rifles! Man the boats!","King Kong"
"I may not be a doctor, but I know there's no better cure for a sour face than a couple of boards and some choice waves. Whatcha think?","Lilo & Stitch"
"Let's have a drink.","Coherence"
"There's just one small problem - and it's a big one.","Futurama: Bender's Game"
"When things are at their darkest, pal, it's a brave man that can kick back and party.","Innerspace"
"Doctor Turd I presume!","Red vs. Blue"
"...and after a century of war I remember that which matters most: we are still HERE.","The Matrix Reloaded"
"The meaning of words and of expressions, is no longer grasped. An isolated word, or a detail of a design can be understood. But the meaning of the whole escapes.","Alphaville"
"Yeah, sure, let the little pipsqueaks knock themselves out.","Space Jam"
"I do so relish these times of peril.","Jimmy Neutron: Boy Genius"
"I am like no other.","I, Frankenstein"
"Mutants are not the ones mankind should fear.","X-Men"
"This is our fight, whether we like it or not.","Mystery Men"
"Well what kind of shit-hole planet is this?","Mystery Science Theater 3000: The Movie"
"Who would ever have believed that human beings would be stupid enough to blow themselves off the face of the Earth?","On the Beach"
"They look like white Rubik's cubes or something.","Super 8"
"There's the money shot, baby.","Deadpool"
"Sir, I don't know where your ship learned to communicate, but it has the most peculiar dialect.","Star Wars: Episode V - The Empire Strikes Back"
"We have a plan. We just don't know what it is yet.","Sliders"
"If I did not believe in you Liu Kang, I would not have helped you. In the Black Tower, you will face three challenges. You must face your enemy. You must face yourself. And you must face your worst fear.","Mortal Kombat"
"When I was a kid, we fuckin' respected our parents, we didn't fuckin' eat 'em!","Undead"
"Mrs Brummel, what the FUCK!","The Faculty"
"Ape Management... is in the hands of the apes.","Conquest of the Planet of the Apes"
"We just gave a ghost a nuke, we should probably run.","Ghostbusters"
"Come closer.","Donnie Darko"
"We're going to a place where kids can live together on the outside. The only people who would ever help us are us.","The Darkest Minds"
"The US Navy. It's not just a job, it's an adventure!","DeepStar Six"
"Long Tall Sally, she built sweet, she got everything, that Uncle John need. Aw baby, I'm gonna have me some fun, I'm gonna have me some fun, I'm gonna have me some fun.","Predator"
"Gerty, is there someone else in the room?","Moon"
"I'm always joking, you should know that about me; it's a defense mechanism.","Sleeper"
"It's above my pay grade.","The Adjustment Bureau"
"Listen to my words, and hear his face!","The Watch"
"How do I know that you're alive and not just a clever imitation of life?","The Machine"
"Well, that's what a dose of reality will do to you. It's why I never touch the stuff. I find it waters down the hallucinations.","Batman: The Killing Joke"
"Today we unite our kingdoms. Tomorrow we scorch the surface! RISE, ATLANTIS!","Aquaman"
"Statistically you're more likely to die in a hospital than anywhere else.","The Void"
"Smells like apple pie...","Hardware"
"Talking frog... not a good minion.","Meet the Robinsons"
"I don't see who's a target.","28 Weeks Later"
"Keep your pantyhose on.","The Abyss"
"Dogs! Go! Go get her! And let nothing stand in your way! Go!","Hulk"
"All presidents who start a war in their first term get re-elected.","Iron Sky"
"So we can't tell anyone what nobody knows?","Donnie Darko"
"Yabba-Dabba-Doo!","The Flintstones in Viva Rock Vegas"
"Secrets are lies. Secrets make crimes possible... Secrets need accountability.","The Circle"
"We know you're out there! If you don't surrender, we start executing hostages!","Teenage Mutant Ninja Turtles"
"Found you!","Thor"
"Keep up production and prevent accidents. This shift is concluded.","THX 1138"
"We owe it to the brain of our species to stand here and die... without destroying a source of wisdom.","The Thing from Another World"
"My calculations show that, scientifically, we're screwed.","Lazer Team"
"All personnel proceed to escape pods. Close down the circus. Evacuate the zoo. The self-destruct mechanism has been activated. Abandon ship.","Spaceballs"
"Do you know he used to torment his lovers by packing his foreskin with spices before intercourse? I'm just lucky they got to him before the execution. I'm real lucky.","Antiviral"
"Ooooh, shiitake mushrooms.","Spy Kids"
"There is nowhere I can't go, there is nowhere I won't find you.","The Matrix Revolutions"
"She locked away a secret, deep inside herself: a truth that she once knew... but chose to forget.","Inception"
"When's the last time you got laid? Like Gilliam said, holding a woman is much better with two arms.","Snowpiercer"
